"EV005","EV005"
"That's it, that's every last one of them!","¡Eso es todo, los he encontrado a todos!"
"Now that you've mapped the entire route, you should be able to find this route's \C[1]rare encounter\C[0] with your Pokéradar.","Ahora que has mapeado toda la ruta, deberías poder encontrar el \C[1]rare encounter\C[0] de esta ruta con tu PokéRadar."
"If Prof Oaks's predictions are correct, it should be a Normal-type Pokémon called \C[1]Buneary\C[0]. Use the Pokéradar and see if you can find one!","Si las predicciones del Profesor Oak son correctas, debería ser un Pokémon tipo Normal llamado \C[1]Buneary\C[0]. Usa el PokéRadar y ve si puedes encontrar uno."
"You're almost there! There's only one more Pokémon that should appear on this route at this time of day.","¡Ya casi llegas! Solo falta un Pokémon más que debería aparecer en esta ruta a esta hora del día."
"It's the Pokémon called \C[1]\V[1]\C[0]. It must be pretty rare!","Es el Pokémon llamado \C[1]\V[1]\C[0]. ¡Debe ser bastante raro!"
"According to my research, there should still be \V[2] more Pokémon that you can encounter on this route at this time of the day.","Según mi investigación, aún deberían haber \V[2] Pokémon más que puedes encontrar en esta ruta a esta hora del día."
"Your Pokéradar's light will flash green when you have encountered every Pokémon on a route. Come and see me when it does!","La luz de tu PokéRadar parpadeará en verde cuando hayas encontrado a todos los Pokémon de una ruta. ¡Ven a verme cuando eso pase!"
"EV006","EV006"
"""A""","""A"""
"EV001","EV001"
"EV007","EV007"
"################################ Mettre celui utilisé en dernier. L'ordre des deux autre pas important. ################################","################################ Mettre celui utilisé en dernier. L'ordre des deux autre pas important. ################################"
"supereffective berries","Bayas súper efectivas"
"Stats affecting berries","Bayas que afectan estadísticas"
"other berries","Otras bayas"
"all berries","Todas las bayas"
"Regular berries","Bayas regulares"
"##### Time event #####","##### Time event #####"
"There's nothing there.","No hay nada ahí."
"EV002","EV002"
"Step into the strange vortex?","¿Entrar en el extraño vórtice?"
"Yes","Sí"
"No","No"
"EV008","EV008"
"That cave up there... Something about it feels unnatural.","Esa cueva allá arriba... Algo en ella se siente antinatural."
"I bet you could find some crazy-strong Pokémon if you found a way inside.","Apuesto a que podrías encontrar Pokémon súper fuertes si encuentras la manera de entrar."
"EV009","EV009"
"Trainer(4)","Trainer(4)"
"Hah! I must be strong! I'm the only trainer on this Route!","¡Ja! ¡Debo ser fuerte! ¡Soy el único entrenador en esta ruta!"
"Why did you need to ruin my day??","¿Por qué tuviste que arruinarme el día?"
