"EV005","EV005"
"Welcome to Cinnabar Island's hotel.","Bienvenido al hotel de Isla Canela."
"\GIt's 50$ for a room. Would you like to rent a room?","\GLa habitación cuesta 50$. ¿Quieres alquilar una?"
"Yes","Sí"
"No","No"
"\GThank you very much. I'll prepare the room for you!","\GMuchas gracias. ¡Prepararé tu habitación!"
"\PN slept for a while...","\PN durmió un rato..."
"Your Pokémon are full of energy!","¡Tus Pokémon están llenos de energía!"
"The current time is \V[74].","La hora actual es \V[74]."
"Oh, I'm awfully sorry, but you don't have enough money.","Oh, lo siento mucho, pero no tienes suficiente dinero."
"EV011","EV011"
"EV006","EV006"
"EV001","EV001"
"EV012","EV012"
"Welcome to the hotel's salon! Here you can change your hairstyle to truly reflect your unique style and personality! ","¡Bienvenido al salón del hotel! ¡Aquí puedes cambiar de peinado para reflejar tu estilo y personalidad únicos!"
"You can also get a special hairstyle if you have the city's badge. Most other cities also have special, exclusive haircuts too!","¡También puedes obtener un peinado especial si tienes la medalla de la ciudad! ¡La mayoría de otras ciudades también tienen cortes especiales y exclusivos!"
"EV007","EV007"
"EV013","EV013"
"Hello there, what can I do for you today?","Hola, ¿en qué puedo ayudarte hoy?"
"Change hairstyle","Cambiar peinado"
"Dye hair ($1000)","Teñir cabello ($1000)"
"Cancel","Cancelar"
"""cinnabar""","""canela"""
"Oh, I'm sorry but you don't have enough money.","Oh, lo siento, pero no tienes suficiente dinero."
"Come back anytime!","¡Vuelve cuando quieras!"
"EV002","EV002"
"EV008","EV008"
"EV003","EV003"
"EV009","EV009"
"I've seen Koga's daughter use a move to push a large boulder in Fuchsia City.","He visto a la hija de Koga usar un movimiento para empujar una gran roca en Ciudad Fucsia."
"I wonder what that move was called.","Me pregunto cómo se llamaba ese movimiento."
"EV004","EV004"
"EV010","EV010"
"Gaah gaaugah!","¡Gaah gaaugah!"
