"EV005","EV005"
"""A""","""A"""
"starter plante","starter plante"
"""Chiko""","""Chiko"""
"\V[3]!","\V[3]!"
"""Bulba""","""Bulba"""
"""Treee""","""Treee"""
"""Twig""","""Twig"""
"""Chee""","""Chee"""
"EV001","EV001"
"EV007","EV007"
"""B""","""B"""
"EV002","EV002"
"EV008","EV008"
"\V[215]\n\V[216] \V[217]","\V[215]\n\V[216] \V[217]"
"EV003","EV003"
"starter feu","starter feu"
"""Cynda""","""Cynda"""
"""Char""","""Char"""
"""Chic chic""","""Chic chic"""
"""Chim chim""","""Chim chim"""
"""Yip""","""Yip"""
"EV004","EV004"
"Mew!","Mew!"
"""Legendary Birds""","""Legendary Birds"""
"mew fled","mew fled"
"starter eau","starter eau"
"""Toto""","""Toto"""
"""Squirt""","""Squirt"""
"""Kip""","""Kip"""
"""Pip""","""Pip"""
"""Croak""","""Croak"""
