"Trainer(1)","Trainer(1)"
"Splash!","Splash!"
"I'm first up. Let's do it!","¡Me toca primero! ¡Vamos allá!"
"I've been splashed!","¡He sido salpicado!"
"this event (speech bubble)","this event (speech bubble)"
"Congrats on that second badge, champ!","¡Felicidades por esa segunda medalla, campeón!"
"event 2 (round floating bubble)","event 2 (round floating bubble)"
"Congratulations!","¡Felicidades!"
"EV011","EV011"
"Yo! Champ in making! Here's my advice! The Leader Misty, is a pro who uses \V[5] Pokémon!","¡Eh, futuro campeón! ¡Toma un consejo, Misty, la líder, es una experta en Pokémon \V[5]!"
"You'll have to be careful not to fall into the pool!","¡Tendrás que tener cuidado de no caer en la piscina!"
"Take this!","¡Toma esto!"
"You beat Misty! What'd I tell ya? You and me kid, we make a pretty darn good team!","¡Le ganaste a Misty! ¿Ves? ¡Te lo dije! ¡Tú y yo, chico, formamos un equipo fenomenal!"
"EV006","EV006"
"EV001","EV001"
"EV012","EV012"
"EV007","EV007"
"Welcome to Cerulean City's Gym.","Bienvenido al Gimnasio de Ciudad Celeste."
"No running around the pool, please!","¡No corras cerca de la piscina, por favor!"
"EV013","EV013"
"Trainer(3)","Trainer(3)"
"You better battle me before Misty!","¡Más te vale enfrentarte a mí antes que a Misty!"
"You can battle Misty now!","¡Ahora puedes enfrentarte a Misty!"
"Woah! You completely dominated that fight!","¡Woah! ¡Dominaste completamente esa pelea!"
"Misty got completely\n soaked!","¡Misty acabó\n ¡empapadísima!"
"EV008","EV008"
"EV003","EV003"
"Hi, you're a new face! What's your policy on Pokémon? What is your approach?","¡Hola, eres nuevo/a por aquí! Dime... ¿Cómo te relacionas con tus Pokémon? ¿Cuál es tu filosofía?"
"My policy is an all-out offensive with \V[5]-type Pokémon! Misty, the world-famous beauty, is your host! ","¡Mi filosofía es una ofensiva total con Pokémon de tipo \V[5]! ¡Yo soy Misty, la celebridad mundial, y seré tu rival!"
"I'll let you use two Pokémon for the fight. Are you ready, sweetie?","Por esta vez... ¡dos Pokémon contra mí! ¿Te animas, cariño?"
"""Misty""","""Misty"""
"""kanto_gym_battle-BW""","""kanto_gym_battle-BW"""
"Wow! You're too much! All right! You can have the Cascade Badge to show you beat me!","¡Vaya derrota! Has demostrado tu valía. La Medalla Cascada es tuya."
"""Cascade Badge""","""Cascade Badge"""
"The Cascade Badge makes all Pokémon up to L30 obey! That includes even the ones obtained in a trade!","¡La Medalla Cascada hará que los Pokémon de hasta nivel 30 te obedezcan! ¡Incluso los obtenidos por intercambio!"
"You can also have my favorite TM!","¡Ten mi MT favorita!"
"TM55 teaches Water Pulse! Use it on an aquatic Pokémon!","¡La MT55 contiene Pulso Agua! ¡Úsala con un Pokémon de tipo agua!"
"\C[3]\PN obtained 1 Premium Wonder Trade ticket!","\C[3]\PN obtuvo 1 boleto de Wonder Trade premium!"
"Come back when you're ready to challenge me!","¡Vuelve cuando estés listo para desafiarme!"
"Keep on going, \PN!","Sigue adelante, \PN!"
"EV009","EV009"
"Pure skills!","¡Puras habilidades!"
"EV004","EV004"
"EV010","EV010"
