"Random gym background","Random gym background"
"ROCK","ROCK"
"""Brock""","""Brock"""
"WATER","WATER"
"""Misty""","""Misty"""
"THUNDER","THUNDER"
"""Surge""","""Surge"""
"GRASS","GRASS"
"""Erika""","""Erika"""
"POISON","POISON"
"""Koga""","""Koga"""
"PSY","PSY"
"""Sabrina""","""Sabrina"""
"FIRE","FIRE"
"""Blaine""","""Blaine"""
"GROUND","GROUND"
"""Giovanni""","""Giovanni"""
"NORMAL","NORMAL"
"""NormalGym""","""NormalGym"""
"FIGHTING","FIGHTING"
"FLYING","FLYING"
"""FlyingGym""","""FlyingGym"""
"BUG","BUG"
"GHOST","GHOST"
"""DarkGym""","""DarkGym"""
"STEEL","STEEL"
"""SteelGym""","""SteelGym"""
"ICE","ICE"
"""IceGym""","""IceGym"""
"DRAGON","DRAGON"
"DARK","DARK"
"FAIRY","FAIRY"
