"SET BST _TRAINERS","CONFIGURAR ESTADÍSTICAS BASE - ENTRENADORES"
"Choose randomness degree (Trainer Pokémon) \ch[1,10,More info,Balanced, Moderate, Insane,Custom]","Elige el grado de aleatoriedad (Pokémon de entrenadores) \ch[1,10,Más info,Equilibrado,Moderado,Insano,Personalizado]"
"More info","Más info"
"The Pokémon get shuffled according to their base stats. ","Los Pokémon se mezclan según sus estadísticas base."
"The lower the degree, the more Pokémon will be replaced by other Pokémon with around the same stats. ","Mientras menor es el grado, más Pokémon serán reemplazados por otros con estadísticas similares."
"The higher it is, the more they get randomized to anything.","Mientras mayor es, más se aleatorizan hacia cualquier Pokémon."
"Got it","Entendido"
"More","Más"
"""Balanced"" randomizes Pokémon to other Pokémon that have the same stats total. (Harder)","""Equilibrado"" aleatoriza Pokémon por otros que tengan el mismo total de estadísticas. (Más difícil)"
"""Insane"" is completely random, so you could end up with legendaries on the first route or with a Magikarp at the Elite Four.","""Insano"" es completamente aleatorio, por lo que podrías encontrar legendarios en la primera ruta o un Magikarp en la Liga Pokémon."
"(Easier)\n""Moderate"" is somewhere in between.  You can also set the base stats range yourself if you so choose.","(Más fácil) ""Moderado"" está en un punto intermedio. También puedes ajustar el rango de estadísticas base si lo deseas."
"Balanced","Equilibrado"
"Moderate","Moderado"
"Insane","Insano"
"""Trainer Pokémon BST range? (0-500)""","""Trainer Pokémon BST range? (0-500)"""
"The new stats range for trainers is \V[195]","El nuevo rango de estadísticas para entrenadores es \V[195]"
