"EV005","EV005"
"There's a weather report on the TV...","Hay un informe meteorológico en la televisión ..."
"It's not looking too good!","¡No se ve nada bien!"
"EV006","EV006"
"EV001","EV001"
"EV007","EV007"
"EV002","EV002"
"Hey, would you like to trade my Yanma for a Paras?","Oye, ¿Te gustaría intercambiar mi Yanma por un Paras?"
"Yes","Sí"
"No","No"
"For shame!","¡Qué vergüenza!"
"OK, let's get started.","¡Bien, que empiece la acción!"
"""Wing""","""Wing"""
"""John""","""John"""
"Thanks!","¡Gracias!"
"No... That's not it...","No ... eso no es todo ..."
"I love the Paras you gave me!","¡Me encanta el Paras que me diste!"
"EV003","EV003"
"My husband loves trading, it makes him feel like he's a young Pokémon trainer again!","¡A mi esposo le encanta hacer intercambios! Dice que así revive sus días como entrenador Pokémon."
"EV004","EV004"
