"EV005","EV005"
"Hey!","¡Oye!"
"It's $50 000 if you want to go through here!","¡Cuesta $50,000 si quieres pasar por aquí!"
"\GYou can't go to Saffron City without paying the toll. That's the rule!","\GNo se permite ir a Ciudad Azafrán sin pagar el peaje. ¡Esa es la norma!"
"Never Mind","Olvídalo"
"Pay Up","Paga"
"\G\PN paid $50000","\G\PN pagó $50,000"
"\C[7]<fs=22>I can't believe someone actually paid!</fs>","\C[7]<fs=22>¡Increíble que alguien haya pagado de verdad!</fs>"
"Hrmm.. ","Hmm..."
"Very well, sir. You're free to go to Saffron City!","Muy bien, señor. ¡Puede pasar a Ciudad Azafrán!"
"Very well, m'am. You're free to go to Saffron City!","Muy bien, señora. ¡Puede pasar a Ciudad Azafrán!"
"I'll go tell the other gatekeepers to leave you alone!","¡Voy a avisar a los demás guardias que no te molesten!"
"Hey! There's a toll if you want to get through here!","¡Oye! ¡Hay un peaje si quieres pasar por aquí!"
"Huh? It's you! You're the one who infiltrated our hideout in Celadon!","¿Eh? ¡Tú! ¡Fuiste tú quien se metió en nuestro escondite en Celadon!"
"Well, you're definitely not getting through now, even if you do have the money.","Bueno, de ninguna manera pasarás ahora, incluso si tienes el dinero."
"In fact, let me teach you a little lesson.","De hecho, voy a enseñarte una pequeña lección."
"Boss isn't going to be happy when he hears about this, no he won't!","¡Al jefe no le va a gustar cuando sepa esto, no, no le gustará!"
"EV006","EV006"
"EV001","EV001"
"EV007","EV007"
"EV002","EV002"
"EV003","EV003"
"Lance","Lance"
"Oh, there you are \PN!","¡Ah, ahí estás \PN!"
"It seems like Team Rocket has taken over Saffron City. They're not letting anyone in!","Parece que Team Rocket ha tomado el control de Ciudad Azafrán. ¡No dejan entrar a nadie!"
"Come on, help me take care of this!","¡Vamos, ayúdame a encargarme de esto!"
"""Lance""","""Lance"""
"Battle grunts","Battle grunts"
"""Team Rocket Battle""","""Team Rocket Battle"""
"Let's go, before it's too late. Let's meet up at Silph Co!","Vamos, antes de que sea demasiado tarde. ¡Nos vemos en Silph Co!"
